,Date,High,Low,Open,Close,Volume,Adj Close,daily_return
0,2020-01-02,49.25,46.630001068115234,46.86000061035156,49.09999847412109,80331100,49.09999847412109,
1,2020-01-03,49.38999938964844,47.540000915527344,48.02999877929688,48.59999847412109,73127400,48.59999847412109,-0.010183299705468052
2,2020-01-06,48.86000061035156,47.86000061035156,48.02000045776367,48.38999938964844,47934900,48.38999938964844,-0.004320968951973758
3,2020-01-07,49.38999938964844,48.040000915527344,49.34999847412109,48.25,58061400,48.25,-0.0028931471670650133
4,2020-01-08,48.29999923706055,47.13999938964844,47.84999847412109,47.83000183105469,53767000,47.83000183105469,-0.008704625263115329
5,2020-01-09,49.959999084472656,48.38999938964844,48.93999862670898,48.970001220703125,76512800,48.970001220703125,0.023834399874688383
6,2020-01-10,49.290000915527344,48.0,49.2599983215332,48.16999816894531,44133700,48.16999816894531,-0.01633659448265634
7,2020-01-13,48.86000061035156,48.2400016784668,48.65999984741211,48.75,34266800,48.75,0.012040727695701081
8,2020-01-14,49.040000915527344,47.90999984741211,48.63999938964844,48.209999084472656,38563200,48.209999084472656,-0.011076941856971168
9,2020-01-15,49.08000183105469,48.119998931884766,48.22999954223633,48.54999923706055,40199900,48.54999923706055,0.007052482037847474
10,2020-01-16,50.310001373291016,48.9900016784668,49.16999816894531,49.77000045776367,58898900,49.77000045776367,0.02512875880277754
11,2020-01-17,51.04999923706055,49.900001525878906,50.20000076293945,50.93000030517578,57722500,50.93000030517578,0.02330720990040014
12,2020-01-21,51.810001373291016,50.70000076293945,50.959999084472656,51.04999923706055,49095000,51.04999923706055,0.0023561541560126464
13,2020-01-22,51.880001068115234,51.20000076293945,51.630001068115234,51.43000030517578,40772200,51.43000030517578,0.00744370369822378
14,2020-01-23,51.75,50.7400016784668,51.34000015258789,51.709999084472656,40135400,51.709999084472656,0.005444269446537309
15,2020-01-24,52.810001373291016,49.470001220703125,52.27999877929688,50.34999847412109,80004900,50.34999847412109,-0.026300534411727527
16,2020-01-27,49.790000915527344,47.900001525878906,48.45000076293945,49.2599983215332,48878600,49.2599983215332,-0.021648464461188066
17,2020-01-28,50.84999847412109,49.47999954223633,50.02999877929688,50.52999877929688,62343800,50.52999877929688,0.025781577365757258
18,2020-01-29,48.06999969482422,46.09999847412109,47.84000015258789,47.5099983215332,112349900,47.5099983215332,-0.05976648586425515
